date,temperature,humidity,luminosity
2019-11-27 16:50:45.097,23.9,30.4,96
2019-11-27 16:50:42.824,23.9,30.4,95
2019-11-27 16:50:40.553,23.8,30.4,99
2019-11-27 16:50:38.281,23.9,30.4,100
2019-11-27 16:50:36.008,23.9,30.4,100
2019-11-27 16:50:33.736,23.9,30.4,100
2019-11-27 16:50:31.467,23.9,30.4,100
2019-11-27 16:50:29.193,23.9,30.4,100
2019-11-27 16:50:26.920,23.9,30.4,100
2019-11-27 16:50:24.647,23.9,30.4,100
2019-11-27 16:50:22.373,23.9,30.4,100
2019-11-27 16:50:20.100,23.9,30.4,100
2019-11-27 16:50:17.831,23.9,30.3,100
2019-11-27 16:50:15.558,23.9,30.3,100
2019-11-27 16:50:13.283,23.9,30.3,99
2019-11-27 16:50:11.011,23.9,30.3,100
2019-11-27 16:50:08.738,23.9,30.3,100
2019-11-27 16:50:06.464,23.9,30.3,99
2019-11-27 16:50:04.193,23.9,30.3,100
2019-11-27 16:50:01.920,23.9,30.3,100
2019-11-27 16:49:59.646,23.9,30.3,101
2019-11-27 16:49:57.373,23.9,30.2,100
2019-11-27 16:49:55.104,23.9,30.2,100
2019-11-27 16:49:52.831,23.9,30.2,101
2019-11-27 16:49:50.558,23.9,30.2,100
2019-11-27 16:49:48.283,23.9,30.2,100
2019-11-27 16:49:46.011,23.9,30.2,100
2019-11-27 16:49:43.738,23.9,30.2,100
2019-11-27 16:49:41.463,23.9,30.2,100
2019-11-27 16:49:39.190,23.9,30.2,100
2019-11-27 16:49:36.918,23.9,30.3,100
2019-11-27 16:49:34.644,23.9,30.2,100
2019-11-27 16:49:32.375,23.9,30.2,100
2019-11-27 16:49:30.102,23.9,30.3,100
2019-11-27 16:49:27.830,23.9,30.3,100
2019-11-27 16:49:25.555,23.9,30.3,100
2019-11-27 16:49:23.283,23.9,30.3,101
2019-11-27 16:49:21.010,23.9,30.3,101
2019-11-27 16:49:18.735,23.9,30.4,101
2019-11-27 16:49:16.463,23.9,30.3,101
2019-11-27 16:49:14.190,23.9,30.4,101
2019-11-27 16:49:11.921,23.9,30.3,101
2019-11-27 16:49:09.648,23.9,30.3,103
2019-11-27 16:49:07.375,23.9,30.3,101
2019-11-27 16:49:05.101,23.9,30.3,101
2019-11-27 16:49:02.828,23.9,30.3,101
2019-11-27 16:49:00.555,23.9,30.3,102
2019-11-27 16:48:58.282,23.9,30.3,102
2019-11-27 16:48:56.008,23.9,30.3,102
2019-11-27 16:48:53.735,23.9,30.3,102
2019-11-27 16:48:51.462,23.9,30.3,102
2019-11-27 16:48:49.188,23.9,30.3,102
2019-11-27 16:48:46.919,23.9,30.3,102
2019-11-27 16:48:44.646,23.9,30.3,102
2019-11-27 16:48:42.373,23.9,30.3,101
2019-11-27 16:48:40.100,23.9,30.3,101
2019-11-27 16:48:37.827,23.9,30.3,102
2019-11-27 16:48:35.554,23.9,30.3,102
2019-11-27 16:48:33.280,23.9,30.3,102
2019-11-27 16:48:31.007,23.9,30.3,101
2019-11-27 16:48:28.734,23.9,30.3,102
2019-11-27 16:48:26.461,23.9,30.3,102
2019-11-27 16:48:24.187,23.9,30.3,102
2019-11-27 16:48:21.918,23.9,30.3,101
2019-11-27 16:48:19.645,23.9,30.2,102
2019-11-27 16:48:17.370,23.9,30.2,101
2019-11-27 16:48:15.098,23.9,30.2,100
2019-11-27 16:48:12.825,23.9,30.2,101
2019-11-27 16:48:10.553,23.9,30.1,101
2019-11-27 16:48:08.279,23.9,30.1,101
2019-11-27 16:48:06.006,23.9,30.1,100
2019-11-27 16:48:03.733,23.9,30.1,100
2019-11-27 16:48:01.463,23.9,30.2,100
2019-11-27 16:47:59.189,23.9,30.2,100
2019-11-27 16:47:56.917,23.9,30.2,97
2019-11-27 16:47:54.643,23.9,30.1,100
2019-11-27 16:47:52.370,23.9,30.2,101
2019-11-27 16:47:50.097,23.9,30.2,101
2019-11-27 16:47:47.824,23.9,30.2,102
2019-11-27 16:47:45.551,24.0,30.2,100
2019-11-27 16:47:43.277,23.9,30.2,101
2019-11-27 16:47:41.007,24.0,30.2,102
2019-11-27 16:47:38.735,23.9,30.2,102
2019-11-27 16:47:36.462,23.9,30.2,102
2019-11-27 16:47:34.189,23.9,30.2,102
2019-11-27 16:47:31.915,23.9,30.2,102
2019-11-27 16:47:29.642,24.0,30.2,103
2019-11-27 16:47:27.369,23.9,30.2,102
2019-11-27 16:47:25.096,24.0,30.2,102
2019-11-27 16:47:22.828,24.0,30.2,102
2019-11-27 16:47:20.553,24.0,30.2,102
2019-11-27 16:47:18.280,23.9,30.2,103
2019-11-27 16:47:16.006,24.0,30.2,103
2019-11-27 16:47:13.734,23.9,30.2,103
2019-11-27 16:47:11.460,23.9,30.2,102
2019-11-27 16:47:09.187,23.9,30.2,102
2019-11-27 16:47:06.915,24.0,30.2,102
2019-11-27 16:47:04.644,24.0,30.2,102
2019-11-27 16:47:02.371,23.9,30.3,102
2019-11-27 16:47:00.098,23.9,30.3,102
2019-11-27 16:46:57.825,24.0,30.3,102
2019-11-27 16:46:55.550,24.0,30.3,103
2019-11-27 16:46:53.278,24.0,30.4,103
2019-11-27 16:46:51.005,24.0,30.4,102
2019-11-27 16:46:48.736,24.0,30.4,102
2019-11-27 16:46:46.462,24.0,30.4,102
2019-11-27 16:46:44.189,24.0,30.4,102
2019-11-27 16:46:41.916,23.9,30.4,102
2019-11-27 16:46:39.643,23.9,30.4,103
